Clusters,Test_Size,N_Estimators,MSE_Clusters
5,1.0,200,6855.012025000003
10,1.0,200,7609.072900000003
8,1.0,200,8091.902024999997
5,1.0,100,9594.202499999998
3,1.0,200,10947.436899999999
12,1.0,200,11414.785599999994
10,1.0,100,11796.132100000003
12,1.0,100,12069.219600000002
15,1.0,200,12872.037024999996
10,1.0,300,14696.712900000004
8,1.0,100,15760.291599999991
8,1.0,300,15966.007211111115
5,1.0,300,16602.322500000006
15,1.0,100,16978.08999999999
3,1.0,100,17750.232900000006
15,1.0,300,18435.303211111106
3,1.0,300,18816.523377777765
12,1.0,300,19462.110044444442
12,0.6,300,10751496.114199948
5,0.6,300,10834536.291827004
12,0.6,200,10834796.731984084
15,0.6,300,10846272.776344037
15,0.6,200,10857643.06327
3,0.6,300,10891043.22163939
10,0.6,300,10907415.03264755
8,0.8,100,10926466.126143299
5,0.6,200,10944258.71335771
8,0.6,300,10945680.267223682
12,0.6,100,10974251.382297708
3,0.6,200,10997503.054039657
10,0.6,200,11010914.691075686
15,0.6,100,11037473.357262902
8,0.6,200,11082264.005041108
5,0.6,100,11097032.709051909
3,0.6,100,11131722.21165542
10,0.6,100,11158643.75425786
8,0.6,100,11225217.660491908
8,0.8,300,11240442.610656193
8,0.8,200,11461379.861470131
5,0.8,100,11475580.50408786
5,0.8,300,11486412.256889308
3,0.8,100,11564174.482429897
3,0.8,300,11641926.883106848
10,0.8,300,11672469.104702303
5,0.8,200,11703180.781527119
12,0.8,300,11739957.388765447
12,0.8,100,11851667.806700572
10,0.8,100,11856620.03215716
10,0.8,200,11873251.411358561
3,0.8,200,11895868.440576259
12,0.8,200,11993121.61521031
12,0.4,300,12391253.291843655
12,0.4,200,12456208.81266333
8,0.4,200,12514329.177416246
8,0.4,300,12518510.77833112
5,0.4,300,12546538.954654133
10,0.4,300,12552784.182345334
10,0.4,200,12581182.723228145
5,0.4,200,12590034.98042151
3,0.4,300,12598862.971252019
15,0.4,200,12611354.126088386
15,0.4,300,12617747.255699262
3,0.4,200,12664350.748546338
5,0.4,100,12713904.317686042
12,0.4,100,12715972.906483984
15,0.8,300,12718929.133064885
8,0.4,100,12791890.6935881
10,0.4,100,12812598.353612127
15,0.4,100,12851520.42450938
3,0.4,100,12955987.072263613
15,0.8,200,12982812.391683305
15,0.8,100,13004216.854743298
12,0.2,100,17268954.672091775
15,0.2,200,17309486.62291849
10,0.2,100,17349651.910094976
12,0.2,300,17369258.351237647
15,0.2,100,17373988.178278994
12,0.2,200,17380969.198300797
3,0.2,100,17396242.176990863
15,0.2,300,17404515.217191327
5,0.2,100,17492034.814570773
8,0.2,100,17516244.03253105
5,0.2,300,17577779.88475089
3,0.2,300,17605034.11759026
8,0.2,300,17615114.414187163
10,0.2,300,17618512.197706904
10,0.2,200,17633128.869266212
5,0.2,200,17643200.631985273
3,0.2,200,17644823.816208333
8,0.2,200,17694460.801994752
